"metric","lambda_d","lambda_u","method","mean","sd","mcse","q2.5","q97.5","n"
"coverage",0,1,"deepAFT-Pooled-S",0.538774,0.0647234273354405,0.00204673448352395,0.41,0.672,1000
"coverage",0,1,"deepAFT-Pooled-T",0.996242,0.00539096452395103,0.000170477266808506,0.98195,1,1000
"coverage",0,2,"Fusion",0.962076,0.0163777426544214,0.000517909697200636,0.92595,0.986,1000
"coverage",0,2,"deepAFT-RCT-S",0.43397,0.0629632231343621,0.0019910719392999,0.318,0.56,1000
"coverage",0,2,"deepAFT-RCT-T",0.987128,0.0141458021942808,0.000447329542641351,0.948,1,1000
"coverage",0,2,"deepAFT-Pooled-S",0.544708,0.0620869190854364,0.00196336077212557,0.432,0.6741,1000
"coverage",0,2,"deepAFT-Pooled-T",0.994524,0.00748046665532181,0.000236553125917586,0.974,1,1000
"coverage",1,0,"Fusion",0.961806,0.0152761161203928,0.000483073207416561,0.92595,0.984,1000
"coverage",1,0,"deepAFT-RCT-S",0.449154,0.0657611192788627,0.00207954918403216,0.33,0.5861,1000
"coverage",1,0,"deepAFT-RCT-T",0.989272,0.0142537428482902,0.00045074292582933,0.956,1,1000
"coverage",1,0,"deepAFT-Pooled-S",0.51175,0.0669028062601673,0.002115652496391,0.392,0.648,1000
"coverage",1,0,"deepAFT-Pooled-T",0.997608,0.00375612093048726,0.000118778973073707,0.988,1,1000
"coverage",1,1,"Fusion",0.963988,0.0144341331641426,0.000456447368488636,0.93195,0.986,1000
"coverage",1,1,"deepAFT-RCT-S",0.439634,0.0631879003825476,0.00199817685772675,0.324,0.57405,1000
"coverage",1,1,"deepAFT-RCT-T",0.987398,0.01474323434525,0.000466222006086112,0.95,1,1000
"coverage",1,1,"deepAFT-Pooled-S",0.543486,0.0668237474047753,0.00211315243586856,0.41995,0.678,1000
"coverage",1,1,"deepAFT-Pooled-T",0.996678,0.00518103842479085,0.000163838820671901,0.984,1,1000
"coverage",1,2,"Fusion",0.96378,0.0147957600181442,0.000467883013705899,0.93,0.988,1000
"coverage",1,2,"deepAFT-RCT-S",0.422148,0.0565800972374863,0.00178921977504258,0.324,0.536,1000
"coverage",1,2,"deepAFT-RCT-T",0.986918,0.0150969266141554,0.00047740673769145,0.94795,1,1000
"coverage",1,2,"deepAFT-Pooled-S",0.546184,0.0654329551190806,0.00206917172211869,0.426,0.67405,1000
"coverage",1,2,"deepAFT-Pooled-T",0.994766,0.00754308571753909,0.00023853331453309,0.974,1,1000
"coverage",2,0,"Fusion",0.969988,0.0135581591552718,0.000428746638097233,0.936,0.99,1000
"coverage",2,0,"deepAFT-RCT-S",0.436654,0.0661525543304599,0.00209192744722288,0.32,0.576,1000
"coverage",2,0,"deepAFT-RCT-T",0.98926,0.0141632269273989,0.000447880561084088,0.9499,1,1000
"coverage",2,0,"deepAFT-Pooled-S",0.51898,0.0672153368027082,0.00212553557991898,0.39995,0.6541,1000
"coverage",2,0,"deepAFT-Pooled-T",0.997516,0.0042369441459259,0.000133983938200427,0.986,1,1000
