"variant","method","lambda_d","lambda_u","rmse","bias","coverage","postvar"
"k=10 CV","deepAFT-Pooled-T",0,2,1.12177135721126,0.191527131819067,0.987986,3.59581359269344
"arch-tuned","deepAFT-Pooled-T",0,2,0.872968957976881,0.0739667789975439,0.927466509988249,0.656433989484741
"k=7 CV","deepAFT-RCT-S",1,2,1.12489035277469,-0.164339562015666,0.422148,0.104517725953599
"k=10 CV","deepAFT-RCT-S",1,2,1.1206382290636,-0.19059076006505,0.366548548548549,0.0644190917707622
"arch-tuned","deepAFT-RCT-S",1,2,1.14952342997153,-0.126638271432577,0.338653306613226,0.111153355606677
"k=7 CV","deepAFT-RCT-T",1,2,1.50276014309025,-0.24620589942661,0.986918,2.64282751883074
"k=10 CV","deepAFT-RCT-T",1,2,1.25362988294126,-0.238092180969874,0.912913827655311,1.08642602417494
"arch-tuned","deepAFT-RCT-T",1,2,1.40088904824425,-0.264049508430644,0.977336008024072,36708553.360932
"k=7 CV","deepAFT-Pooled-S",1,2,1.16639986330235,0.303643205365395,0.546184,0.238393930984423
"k=10 CV","deepAFT-Pooled-S",1,2,1.16949137949763,0.350184177458669,0.450938,0.146326427975534
"arch-tuned","deepAFT-Pooled-S",1,2,1.13661019168013,0.370141182346502,0.406714761376249,0.0684579688181124
"k=7 CV","deepAFT-Pooled-T",1,2,1.52860243600364,0.192406786603476,0.994766,5.79899511990194
"k=10 CV","deepAFT-Pooled-T",1,2,1.18661136116675,0.187485570133516,0.98832,4.06072408334439
"arch-tuned","deepAFT-Pooled-T",1,2,0.919785855123444,0.055363784086502,0.925936245572609,0.699479624113968
"k=7 CV","deepAFT-RCT-S",2,2,1.12600140702314,-0.145439901768214,0.417172,0.101324928028665
"k=10 CV","deepAFT-RCT-S",2,2,1.12159968379297,-0.191314171141823,0.36634,0.0648736544203434
"arch-tuned","deepAFT-RCT-S",2,2,1.14971459027777,-0.143119197943746,0.341177177177177,0.150663282672144
"k=7 CV","deepAFT-RCT-T",2,2,1.49799083405047,-0.256040277004996,0.986658,2.6630532530246
"k=10 CV","deepAFT-RCT-T",2,2,1.24251642427798,-0.237828283371617,0.927646,1.12362555811727
"arch-tuned","deepAFT-RCT-T",2,2,1.39276015939661,-0.242586271279161,0.976232232232232,8736949.80489045
"k=7 CV","deepAFT-Pooled-S",2,2,1.1670446486133,0.25537336234656,0.55291,0.251300206442661
"k=10 CV","deepAFT-Pooled-S",2,2,1.16682823855788,0.317789776619311,0.45363,0.144350657444605
"arch-tuned","deepAFT-Pooled-S",2,2,1.14036253211198,0.323475626763353,0.414141458106638,0.074511114705994
"k=7 CV","deepAFT-Pooled-T",2,2,1.63962335294211,0.172704684987334,0.996078,7.34286480669818
"k=10 CV","deepAFT-Pooled-T",2,2,1.25251975253406,0.213238658972073,0.99029,5.26516506183617
"arch-tuned","deepAFT-Pooled-T",2,2,1.0065821996314,0.0509738377501383,0.929359430604982,0.810607299287984
