"method","population","lambda_d","lambda_u","rmse","bias","coverage","width","postvar","bias_var"
"deepAFT-RCT-S","RWD",2,2,1.12432305774108,-0.190768787711079,0.365637142857143,0.926965046760129,0.065117974195705,0.0416848167191409
"deepAFT-RCT-T","RWD",2,2,1.2564668332766,-0.236300589236292,0.927851428571429,3.79750266085612,47.2425855494131,0.126906879606002
"deepAFT-Pooled-S","RWD",2,2,1.17296229254907,0.321154269051791,0.452491428571429,1.13666704278892,0.144523300986424,0.0456198181572663
"deepAFT-Pooled-T","RWD",2,2,1.52138896469542,0.217439970781777,0.990354285714286,5.35023737387591,5.27276105036894,3.84625474047293
"Fusion","All",0,0,0.678485266526543,-0.00956408965113524,0.95807,2.69964385072505,0.477673246839331,0.0433213296087157
"deepAFT-RCT-S","All",0,0,1.11433860004522,-0.167373329747081,0.37988988988989,0.947923071274932,0.0684250508002389,0.0382340972700806
"deepAFT-RCT-T","All",0,0,1.2381131573791,-0.213564736425963,0.904582,3.7102080927257,6.16249751154453,0.0766474115474569
"deepAFT-Pooled-S","All",0,0,1.08654819435848,-0.130515045737849,0.41097,0.970513217015292,0.120595758607515,0.0385398126152532
"deepAFT-Pooled-T","All",0,0,1.27438047589744,0.00601297817584557,0.993052,4.73497618100937,3.95714619019966,1.55164016428566
"Fusion","All",0,1,0.677880157330851,-0.0310738710691131,0.959884,2.74041132559621,0.492177018232886,0.043241052659191
"deepAFT-RCT-S","All",0,1,1.10979567833958,-0.182106317960325,0.375156,0.942755133981106,0.0666626086996719,0.0342782084254354
"deepAFT-RCT-T","All",0,1,1.2304612141667,-0.232476971503083,0.906144288577154,3.6749241295708,1.09651602083296,0.0722460863966519
"deepAFT-Pooled-S","All",0,1,1.10193050451056,0.104838563673937,0.440768,0.977979859203626,0.123854045606465,0.0506999265914278
"deepAFT-Pooled-T","All",0,1,1.36141338672524,0.14098373433879,0.990682,4.7523508508378,3.72436804769378,2.5447434279031
"Fusion","All",0,2,0.683324693433615,-0.0277408314197071,0.962076,2.82595322191579,0.523337460274609,0.0431975917911161
"deepAFT-RCT-S","All",0,2,1.11254052030597,-0.197419446403393,0.371833333333333,0.936868151902201,0.0654888157160154,0.0336334977282635
"deepAFT-RCT-T","All",0,2,1.25659368140024,-0.250791749920355,0.9097,3.70700544988697,13.0366279457512,0.0791568855198836
"deepAFT-Pooled-S","All",0,2,1.1635176635503,0.358414438222527,0.451568,1.10577081949439,0.146880741583573,0.0305022776238021
"deepAFT-Pooled-T","All",0,2,1.3127933689127,0.198840787287113,0.987986,4.84534861180349,3.59581359269344,2.25431769422732
"Fusion","All",1,0,0.675788256171059,-0.0316067729834481,0.961806,2.77149622649837,0.503438379170506,0.0416556866918762
"deepAFT-RCT-S","All",1,0,1.11336976540558,-0.195445780811116,0.373177177177177,0.937570983730454,0.0689785407825076,0.0325292039646369
"deepAFT-RCT-T","All",1,0,1.25193331517246,-0.22978210989297,0.909207207207207,3.73082039931658,1.68005448896712,0.0885755235143052
"deepAFT-Pooled-S","All",1,0,1.08152840919902,-0.133869036088523,0.418418,0.986442837153429,0.120883164405372,0.0318267986227409
"deepAFT-Pooled-T","All",1,0,1.30672292328184,0.0197039046541636,0.993328,4.86947184410761,4.18656403363582,2.29695144924942
"Fusion","All",1,1,0.675856766855951,-0.0255251319391673,0.963988,2.81611685733512,0.519821153089496,0.043371206257587
"deepAFT-RCT-S","All",1,1,1.11487169559151,-0.184728049631772,0.375331331331331,0.945863211993145,0.0673236197558843,0.0353309131551288
"deepAFT-RCT-T","All",1,1,1.24995715074563,-0.247090617367082,0.913388944723618,3.73224905305638,1.16658841066281,0.0867519310478058
"deepAFT-Pooled-S","All",1,1,1.10691055894865,0.105170887642693,0.443824,0.993229487928064,0.125472298451251,0.0395355307995197
"deepAFT-Pooled-T","All",1,1,1.35026576953407,0.137189209145265,0.991408,4.91861778580514,4.125317344432,2.82123123703901
"Fusion","All",1,2,0.689540732813348,-0.0240215095058648,0.96378,2.89205355375513,0.54813211829888,0.0437114986729124
"deepAFT-RCT-S","All",1,2,1.1206382290636,-0.19059076006505,0.366548548548549,0.926627525530243,0.0644190917707622,0.0340677702328779
"deepAFT-RCT-T","All",1,2,1.25362988294126,-0.238092180969874,0.912913827655311,3.72146109926235,1.10482112941328,0.0763078578481173
"deepAFT-Pooled-S","All",1,2,1.16949137949763,0.350184177458669,0.450938,1.11671497374404,0.146326427975534,0.0436140954547591
"deepAFT-Pooled-T","All",1,2,1.29393147530201,0.20145992121999,0.98832,4.97210479817139,4.06072408334439,1.06120537794365
"Fusion","All",2,0,0.671294975072132,-0.0363998328267533,0.969988,2.93374143208412,0.564356527051639,0.0455465875336434
"deepAFT-RCT-S","All",2,0,1.12392210676891,-0.200251590052548,0.367917753259779,0.93969584206171,0.072863091271202,0.0366985022656692
"deepAFT-RCT-T","All",2,0,1.26619354560112,-0.275351933410214,0.91956956956957,3.82208359993722,17.5362793447139,0.115755665501036
"deepAFT-Pooled-S","All",2,0,1.08894128163108,-0.114696395899446,0.429152,1.02722331606242,0.130662566561063,0.0313082637354009
"deepAFT-Pooled-T","All",2,0,1.528921937143,-0.0529117177039636,0.992712,5.12548373159845,4.72200597453209,3.05554572717847
"Fusion","All",2,1,0.677277334596071,-0.0133372150201377,0.969178,2.96846798880727,0.577782470896717,0.045345174859445
"deepAFT-RCT-S","All",2,1,1.12594288458628,-0.197439349880166,0.364894,0.92565697013367,0.0669324078154571,0.0358005932716157
"deepAFT-RCT-T","All",2,1,1.26190963475468,-0.24781714326917,0.921485485485485,3.76774971799141,10.9747524928607,0.122161674386688
"deepAFT-Pooled-S","All",2,1,1.11522822860511,0.0952013286644801,0.446414,1.03267026412129,0.130034601115363,0.0353439527727104
"deepAFT-Pooled-T","All",2,1,1.49066118477419,0.0431850634083393,0.991746,5.21661724138422,5.18497208393482,3.15505081943318
"Fusion","All",2,2,0.682561196919139,-0.00334597509296575,0.970608,3.05025717006285,0.609835982419355,0.0461945238530896
"deepAFT-RCT-S","All",2,2,1.12159968379297,-0.191314171141823,0.36634,0.924702867061994,0.0648736544203434,0.0379088829753769
"deepAFT-RCT-T","All",2,2,1.24251642427798,-0.237828283371617,0.927646,3.76000622639208,47.2256935973772,0.117656936762625
"deepAFT-Pooled-S","All",2,2,1.17032149834768,0.317789776619311,0.45363,1.13598549687227,0.144350657444605,0.0430837527949287
